#;TITLE;ARTIST;RELEASE;BPM;ENERGY;DANCE;LOUD;VALENCE;LENGTH;ACOUSTIC;POP.
194;Where Do You Go to (My Lovely);Peter Sarstedt;4/8/2008;175;44;41;-8;47;4:45;81;43
195;To Galazio Tragoudi - Stin Epohi Tis Diahisis;Ta Pedia Tis Paleotitas;2/6/2014;132;67;28;-7;12;4:31;2;0
196;Staring;Mary & The Boy;2/2/2009;75;34;22;-11;11;3:22;58;6
197;Like A Friend;Pulp;30/3/1998;112;53;30;-9;34;4:31;3;39
198;Have You Noticed?;Lolek;1/1/2009;95;55;59;-8;25;4:45;74;6
199;Clown;Abbie Gale;2/1/2007;150;84;51;-5;66;4:09;0;4
200;Walking With Thee;Clinic;18/2/2001;122;61;52;-6;38;2:37;0;24
201;Weekend;Smith Westerns;22/4/2011;154;85;40;-4;82;3:23;0;28
202;Mr. Blue Sky;Electric Light Orchestra;1977;178;34;39;-10;47;5:03;65;23
203;This Is Just a Modern Rock Song;Belle & Sebastian;23/5/2005;93;37;30;-11;15;7:13;25;24
204;Busby Berkeley Dreams;The Magnetic Fields;1999;95;25;56;-9;43;3:37;97;20
205;Sons Of USSR;Micah P. Hinson;10/3/2014;80;40;27;-12;37;4:27;81;13
206;Sloop John B - 1996 - Remaster;The Beach Boys;16/6/1966;126;75;57;-5;90;3:00;40;56
207;90-Mile Water Wall;The National;2/9/2003;103;46;46;-8;11;3:44;82;33
208;Rooks;Shearwater;3/6/2008;108;54;64;-8;38;3:21;41;31
209;I've Been Loved;Mikal Cronin;4/5/2015;139;33;37;-10;8;3:44;69;20
210;One Way Trigger;The Strokes;22/3/2013;96;94;52;-4;96;4:02;0;57
211;Let's Pretend We're Bunny Rabbits;The Magnetic Fields;1999;125;68;45;-6;46;2:25;39;24
212;You Don't Own Me;Lesley Gore;10/3/2014;96;42;35;-6;37;2:33;24;39
213;Stay Loose;Belle & Sebastian;6/10/2003;130;56;72;-7;63;6:42;6;29
214;The Hopeless Opus Or The Great Battle Of The Unfriendly Ridiculous;of Montreal;1/4/2001;142;32;38;-12;23;17:56;96;4
215;Piss Crowns Are Trebled;Godspeed You! Black Emperor;27/3/2015;132;79;16;-7;6;13:50;2;32
216;David Bowie's Son;His Majesty the King of Spain;18/6/2012;108;59;56;-7;69;2:48;14;0
217;Friends Of Mine;Adam Green;23/6/2003;119;64;63;-6;74;2:50;7;39
218;Runaway;Del Shannon;24/9/2007;150;79;53;-2;85;2:19;68;48
219;Intervention;Arcade Fire;2007;121;70;37;-7;25;4:19;3;44
220;Break My Heart And Mend It;Hero Fisher;3/6/2015;144;34;28;-9;10;5:42;6;4
221;The Night Josh Tillman Came To Our Apt.;Father John Misty;9/2/2015;99;63;60;-6;66;3:36;28;51
222;Rebellion (Lies);Arcade Fire;2004;127;93;40;-6;73;5:11;1;54
223;Jonathan David;Belle & Sebastian;23/5/2005;152;78;44;-6;87;3:00;36;25
224;Dromi Palii;Margarita Zorbala;2000;93;29;33;-9;43;5:00;82;1
225;To Kafeneio;Arleta;3/7/2008;117;31;68;-9;61;2:43;84;1
226;Shipwreckers;James Yorkston and the Athletes;2004;91;77;41;-8;41;3:03;18;0
227;Holy Shit;Father John Misty;9/2/2015;131;49;53;-6;31;4:01;80;44
228;I Ipote Pote Pote;Nikos Kypourgos;2012;127;33;59;-12;69;1:53;74;2
229;O Xerolas;Nikos Kypourgos;2012;78;37;34;-11;28;2:02;75;1
